file_name,ndvi_file_name,location,year,row,col,cloud_coverage,bounds
Kalyan_2024_1_3.png,NDVI_Kalyan_2024_1_3.tif,Kalyan,2024,1,3,,"[[[73.20692370159816, 19.238063063063063], [73.25577110479446, 19.238063063063063], [73.25577110479446, 19.28418918918919], [73.20692370159816, 19.28418918918919], [73.20692370159816, 19.238063063063063]]]"
Kalyan_2024_1_4.png,NDVI_Kalyan_2024_1_4.tif,Kalyan,2024,1,4,,"[[[73.25577110479446, 19.238063063063063], [73.30461850799077, 19.238063063063063], [73.30461850799077, 19.28418918918919], [73.25577110479446, 19.28418918918919], [73.25577110479446, 19.238063063063063]]]"
Kalyan_2024_2_0.png,NDVI_Kalyan_2024_2_0.tif,Kalyan,2024,2,0,,"[[[73.06038149200924, 19.191936936936937], [73.10922889520555, 19.191936936936937], [73.10922889520555, 19.238063063063063], [73.06038149200924, 19.238063063063063], [73.06038149200924, 19.191936936936937]]]"
Kalyan_2024_2_1.png,NDVI_Kalyan_2024_2_1.tif,Kalyan,2024,2,1,,"[[[73.10922889520555, 19.191936936936937], [73.15807629840185, 19.191936936936937], [73.15807629840185, 19.238063063063063], [73.10922889520555, 19.238063063063063], [73.10922889520555, 19.191936936936937]]]"
Kalyan_2024_2_2.png,NDVI_Kalyan_2024_2_2.tif,Kalyan,2024,2,2,,"[[[73.15807629840185, 19.191936936936937], [73.20692370159816, 19.191936936936937], [73.20692370159816, 19.238063063063063], [73.15807629840185, 19.238063063063063], [73.15807629840185, 19.191936936936937]]]"
Kalyan_2024_2_3.png,NDVI_Kalyan_2024_2_3.tif,Kalyan,2024,2,3,,"[[[73.20692370159816, 19.191936936936937], [73.25577110479446, 19.191936936936937], [73.25577110479446, 19.238063063063063], [73.20692370159816, 19.238063063063063], [73.20692370159816, 19.191936936936937]]]"
Kalyan_2024_2_4.png,NDVI_Kalyan_2024_2_4.tif,Kalyan,2024,2,4,,"[[[73.25577110479446, 19.191936936936937], [73.30461850799077, 19.191936936936937], [73.30461850799077, 19.238063063063063], [73.25577110479446, 19.238063063063063], [73.25577110479446, 19.191936936936937]]]"
Kalyan_2024_3_0.png,NDVI_Kalyan_2024_3_0.tif,Kalyan,2024,3,0,,"[[[73.06038149200924, 19.14581081081081], [73.10922889520555, 19.14581081081081], [73.10922889520555, 19.191936936936937], [73.06038149200924, 19.191936936936937], [73.06038149200924, 19.14581081081081]]]"
Kalyan_2024_3_1.png,NDVI_Kalyan_2024_3_1.tif,Kalyan,2024,3,1,,"[[[73.10922889520555, 19.14581081081081], [73.15807629840185, 19.14581081081081], [73.15807629840185, 19.191936936936937], [73.10922889520555, 19.191936936936937], [73.10922889520555, 19.14581081081081]]]"
Kalyan_2024_3_2.png,NDVI_Kalyan_2024_3_2.tif,Kalyan,2024,3,2,,"[[[73.15807629840185, 19.14581081081081], [73.20692370159816, 19.14581081081081], [73.20692370159816, 19.191936936936937], [73.15807629840185, 19.191936936936937], [73.15807629840185, 19.14581081081081]]]"
Kalyan_2024_3_3.png,NDVI_Kalyan_2024_3_3.tif,Kalyan,2024,3,3,,"[[[73.20692370159816, 19.14581081081081], [73.25577110479446, 19.14581081081081], [73.25577110479446, 19.191936936936937], [73.20692370159816, 19.191936936936937], [73.20692370159816, 19.14581081081081]]]"
Kalyan_2024_3_4.png,NDVI_Kalyan_2024_3_4.tif,Kalyan,2024,3,4,,"[[[73.25577110479446, 19.14581081081081], [73.30461850799077, 19.14581081081081], [73.30461850799077, 19.191936936936937], [73.25577110479446, 19.191936936936937], [73.25577110479446, 19.14581081081081]]]"
Kalyan_2024_4_0.png,NDVI_Kalyan_2024_4_0.tif,Kalyan,2024,4,0,,"[[[73.06038149200924, 19.099684684684686], [73.10922889520555, 19.099684684684686], [73.10922889520555, 19.14581081081081], [73.06038149200924, 19.14581081081081], [73.06038149200924, 19.099684684684686]]]"
Kalyan_2024_4_1.png,NDVI_Kalyan_2024_4_1.tif,Kalyan,2024,4,1,,"[[[73.10922889520555, 19.099684684684686], [73.15807629840185, 19.099684684684686], [73.15807629840185, 19.14581081081081], [73.10922889520555, 19.14581081081081], [73.10922889520555, 19.099684684684686]]]"
Kalyan_2024_4_2.png,NDVI_Kalyan_2024_4_2.tif,Kalyan,2024,4,2,,"[[[73.15807629840185, 19.099684684684686], [73.20692370159816, 19.099684684684686], [73.20692370159816, 19.14581081081081], [73.15807629840185, 19.14581081081081], [73.15807629840185, 19.099684684684686]]]"
Kalyan_2024_4_3.png,NDVI_Kalyan_2024_4_3.tif,Kalyan,2024,4,3,,"[[[73.20692370159816, 19.099684684684686], [73.25577110479446, 19.099684684684686], [73.25577110479446, 19.14581081081081], [73.20692370159816, 19.14581081081081], [73.20692370159816, 19.099684684684686]]]"
Kalyan_2024_4_4.png,NDVI_Kalyan_2024_4_4.tif,Kalyan,2024,4,4,,"[[[73.25577110479446, 19.099684684684686], [73.30461850799077, 19.099684684684686], [73.30461850799077, 19.14581081081081], [73.25577110479446, 19.14581081081081], [73.25577110479446, 19.099684684684686]]]"
Thane_2018_0_0.png,NDVI_Thane_2018_0_0.tif,Thane,2018,0,0,,"[[[72.79093395196637, 19.288355855855855], [72.83978259340205, 19.288355855855855], [72.83978259340205, 19.33448198198198], [72.79093395196637, 19.33448198198198], [72.79093395196637, 19.288355855855855]]]"
Thane_2018_0_1.png,NDVI_Thane_2018_0_1.tif,Thane,2018,0,1,,"[[[72.83978259340205, 19.288355855855855], [72.88863123483772, 19.288355855855855], [72.88863123483772, 19.33448198198198], [72.83978259340205, 19.33448198198198], [72.83978259340205, 19.288355855855855]]]"
Thane_2018_0_2.png,NDVI_Thane_2018_0_2.tif,Thane,2018,0,2,,"[[[72.88863123483772, 19.288355855855855], [72.9374798762734, 19.288355855855855], [72.9374798762734, 19.33448198198198], [72.88863123483772, 19.33448198198198], [72.88863123483772, 19.288355855855855]]]"
Thane_2018_0_3.png,NDVI_Thane_2018_0_3.tif,Thane,2018,0,3,,"[[[72.9374798762734, 19.288355855855855], [72.98632851770907, 19.288355855855855], [72.98632851770907, 19.33448198198198], [72.9374798762734, 19.33448198198198], [72.9374798762734, 19.288355855855855]]]"
Thane_2018_0_4.png,NDVI_Thane_2018_0_4.tif,Thane,2018,0,4,,"[[[72.98632851770907, 19.288355855855855], [73.03517715914475, 19.288355855855855], [73.03517715914475, 19.33448198198198], [72.98632851770907, 19.33448198198198], [72.98632851770907, 19.288355855855855]]]"
Thane_2018_1_0.png,NDVI_Thane_2018_1_0.tif,Thane,2018,1,0,,"[[[72.79093395196637, 19.24222972972973], [72.83978259340205, 19.24222972972973], [72.83978259340205, 19.288355855855855], [72.79093395196637, 19.288355855855855], [72.79093395196637, 19.24222972972973]]]"
